codigo,nombre,categoria,id_proveedor,proveedor,precio_venta,unidad
FER-0001,Martillo Clásico,ferreteria,PRV-010,Alianza Nueva Granada,9719,unidad
MIS-0002,Vela aromática Mediano,MISCELÁNEA,PRV-019,Importadora San Martín,17638,UND
PAN-0003,Galleta de avena Grande, Panadería ,PRV-028,Soluciones del Norte,25557,ud
ABA-0004,Atún Premium,Abarrotes,PRV-001,Distribuciones Andina,33476,Paquete
PAP-0005,Resma de papel Mini,papeleria,PRV-010,Alianza Nueva Granada,41395,paquete
FER-0006,Martillo Clásico,FERRETERÍA,PRV-019,Importadora San Martín,49314,Unidad
MIS-0007,Vela aromática Mediano, Miscelánea ,PRV-028,Soluciones del Norte,57233,unidad
PAN-0008,Galleta de avena Grande,Panadería,PRV-001,Distribuciones Andina,65152,UND
ABA-0009,Atún Premium,abarrotes,PRV-010,Alianza Nueva Granada,$73.071,ud
PAP-0010,Resma de papel Mini,PAPELERÍA,PRV-019,Importadora San Martín,80990,Paquete
FER-0011,  Martillo Clásico , Ferretería ,PRV-028,Soluciones del Norte,88909,paquete
MIS-0012,Vela aromática Mediano,Miscelánea,PRV-001,Distribuciones Andina,96828,Unidad
PAN-0013,Galleta de avena Grande,panaderia,PRV-010,Alianza Nueva Granada,104.747,unidad
ABA0014,Atún Premium,ABARROTES,PRV-019,Importadora San Martín,112666,UND
PAP-0015,Resma de papel Mini, Papelería ,PRV-028,Soluciones del Norte,120585,ud
FER-0016,Martillo Clásico,Ferretería,PRV-001,Distribuciones Andina,128504,Paquete
MIS-0017,Vela aromática Mediano,miscelanea,,Alianza Nueva Granada,136423,paquete
PAN-0018,Galleta de avena Grande,PANADERÍA,PRV-019,Importadora San Martín,$144.342,Unidad
aba-0019,Atún Premium, Abarrotes ,PRV-028,Soluciones del Norte,152261,unidad
PAP-0020,Resma de papel Mini,Papelería,PRV-001,Distribuciones Andina,160180,UND
FER-0021,Martillo Clásico,ferreteria,PRV-010,Alianza Nueva Granada,168099,ud
MIS-0022,  Vela aromática Mediano ,MISCELÁNEA,PRV-019,Importadora San Martín,176 mil,Paquete
PAN-0023,Galleta de avena Grande, Panadería ,PRV028,Soluciones del Norte,183937,paquete
ABA-0024,Atún Premium,Abarrotes,PRV-001,Distribuciones Andina,191856,Unidad
PAP-0025,Resma de papel Mini,papeleria,PRV-010,Alianza Nueva Granada,199775,unidad
FER-0026,Martillo Clásico,FERRETERÍA,PRV-019,Importadora San Martín,9.694,UND
MIS-0027,Vela aromática Mediano, Miscelánea ,PRV-028,Soluciones del Norte,$17.613,ud
PAN0028,Galleta de avena Grande,Panadería,PRV-001,Distribuciones Andina,25532,Paquete
ABA-0029,Atún Premium,abarrotes,PRV-010,Alianza Nueva Granada,33451,paquete
PAP-0030,Resma de papel Mini,PAPELERÍA,PRV-019,Importadora San Martín,41370,Unidad
FER-0031,Martillo Clásico, Ferretería ,PRV-028,Soluciones del Norte,,unidad
MIS-0032,Vela aromática Mediano,Miscelánea,PRV-001,Distribuciones Andina,57208,UND
PAN-0033,  Galleta de avena Grande ,panaderia,PRV-010,Alianza Nueva Granada,65127,ud
ABA-0034,Atún Premium,ABARROTES,,Importadora San Martín,73046,Paquete
